X,Y,Z,azimuth,dip,polarity,formation
307002.6392395281,6437987.828075677,439.7794992026295,260,10,1,Wilpena_Group
303122.4327211536,6437966.022921394,401.17772459736744,155,40,1,Wilpena_Group
304609.82276728627,6434047.97500062,437.8223944445198,335,80,1,Wilpena_Group
303581.5799848475,6435079.3775321,434.73272622426174,330,40,1,Wilpena_Group
303108.3483084254,6434273.672670139,473.8627278078359,145,65,1,Wilpena_Group
300755.1785640458,6435646.999082478,564.5913409107784,145,10,1,Wilpena_Group
292577.6384126791,6438147.243953369,516.5920111964564,155,80,1,Burra_Group
293822.029309849,6436006.001061946,483.85283990601044,155,80,1,Umberatana_Group
292674.9217599081,6431990.2888464695,501.9385926746249,150,75,1,Unnamed_GIS_Unit___see_description
291680.1361436364,6430696.16490744,498.2402485299637,320,40,1,Unnamed_GIS_Unit___see_description
293657.0271438041,6431098.315733693,521.5713693345256,325,50,1,Wilpena_Group
293803.4188588321,6430521.481044834,523.6531452918874,140,30,1,Wilpena_Group
294068.8704676609,6430092.164032903,531.071301768983,295,45,1,Wilpena_Group
291698.1225207718,6426978.720973151,524.193715366836,315,70,1,Wilpena_Group
291943.8525685972,6426606.290650511,531.8102837194497,130,40,1,Wilpena_Group
293763.95772473444,6426828.8728674315,572.9151839821557,120,50,1,Wilpena_Group
308231.05831332284,6428500.15597185,332.0946492804187,0,30,1,Umberatana_Group
309172.6270411876,6427817.318977189,317.8109516613507,335,20,1,Umberatana_Group
308906.03724962776,6420182.256846514,301.5127170711348,0,90,1,Yudnamutana_Subgroup
302982.3825003488,6423297.34737052,409.2168934568193,170,30,1,Burra_Group
301828.7915384396,6424727.729242751,460.5132061885451,335,25,1,Umberatana_Group
300750.20047781756,6425726.767005369,613.5580246482552,320,40,1,Umberatana_Group
294545.1272483735,6423564.312084963,628.1012854799571,300,55,1,Wilpena_Group
293742.965955892,6419920.771687169,515.0339817841154,290,80,1,Umberatana_Group
295568.1105630324,6421344.459797995,506.07735437445456,310,60,1,Umberatana_Group
296857.6789221936,6421313.623140454,501.08145698324597,305,55,1,Umberatana_Group
299944.0956371194,6421333.417135017,461.2393130622874,315,40,1,Burra_Group
301909.19074722496,6422192.944540929,445.3735448644551,335,25,1,Burra_Group
301322.1146677985,6421341.591536989,426.5270800088448,340,10,1,Burra_Group
300286.383901039,6419208.120858965,412.6717069330823,130,10,1,Burra_Group
298180.29724350106,6419001.640702561,439.9642042936494,300,50,1,Burra_Group
296977.22734611447,6418690.272090691,482.85429303469505,295,65,1,Yudnamutana_Subgroup
296662.3274107836,6416831.312384586,534.9691114936526,295,45,1,Yudnamutana_Subgroup
297850.4741884378,6416786.581809039,496.1718742365938,295,10,1,Burra_Group
301527.3448732075,6415732.3230608255,375.4235642596269,130,25,1,Burra_Group
296240.52874616534,6414875.874880291,565.9848836540373,295,30,1,Yudnamutana_Subgroup
297620.23234450095,6413117.348793166,585.5187335017654,290,20,1,Burra_Group
296651.8803311875,6411734.4904262535,596.0388918904325,310,30,1,Burra_Group
294460.71383915807,6412829.826244344,546.652753479277,295,60,1,Umberatana_Group
294597.1679659763,6412024.26556295,561.0617606666444,295,20,1,Yudnamutana_Subgroup
293875.2265306293,6411845.0820461195,539.2180792012023,285,55,1,Umberatana_Group
294163.57959103404,6408905.7714430615,539.9966384985207,290,40,1,Yudnamutana_Subgroup
295311.1945819857,6409070.343463149,516.6048182229871,230,35,1,Burra_Group
294947.517430085,6408125.999027541,537.8495317882454,140,60,1,Burra_Group
292047.3019018263,6405756.792285476,450.34835021280225,265,45,1,Umberatana_Group
315119.64860372257,6408008.035424639,264.4478293932429,100,5,1,Burra_Group
312617.0306029785,6406945.8243832365,300.21923904389126,80,40,1,Burra_Group
311566.6938496181,6407697.363490464,296.73105984283376,100,10,1,Burra_Group
309597.22453533986,6407212.728172569,328.22598622678447,310,45,1,Burra_Group
302223.40235762694,6409956.547348721,332.0,350,15,1,Unnamed_GIS_Unit___see_description
305245.19410762377,6406804.6141634,358.0,345,50,1,Yudnamutana_Subgroup
307056.07457039325,6408908.082908253,351.7096934797765,280,20,1,Yudnamutana_Subgroup
310348.84980092803,6410830.2866722625,334.43261541807436,320,25,1,Yudnamutana_Subgroup
310818.39554515143,6410320.486899358,334.87497445510894,320,15,1,Burra_Group
320105.8832369882,6412299.356468765,270.38287668477966,135,40,1,Yudnamutana_Subgroup
321935.5338649109,6411708.628503103,270.2264515662926,140,45,1,Yudnamutana_Subgroup
327220.9705921256,6412679.412309018,276.92924881709655,150,30,1,Umberatana_Group
332255.2833894659,6409586.7547883745,304.21223495038674,335,55,1,Umberatana_Group
333746.37503496674,6413517.113898782,336.36229543521614,130,10,1,Umberatana_Group
330366.31517752237,6416894.131462285,318.58546635398307,145,35,1,Yudnamutana_Subgroup
329865.1945998297,6417937.378181469,335.5144004139874,140,20,1,Yudnamutana_Subgroup
